Statistical profiling result from infoConsoleProf.log, (14175 ticks, 26 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.1%  LazyCompile: *WhitespaceControl.Program /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/whitespace-control.js:19:48
      2    0.0%    0.1%  LazyCompile: *PathExpression /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:289:42
      2    0.0%    0.1%  LazyCompile: *Module._compile node:internal/modules/cjs/loader:1055:37
      2    0.0%    0.1%  LazyCompile: *Hash node:internal/crypto/hash:58:14
      2    0.0%    0.1%  LazyCompile: *<anonymous> /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:505:34
      1    0.0%    0.1%  RegExp: ^\s*?\r?\n
      1    0.0%    0.1%  RegExp: ^\/products\/?(?=\/|$)
      1    0.0%    0.1%  RegExp: ^\/messages\/?(?=\/|$)
      1    0.0%    0.1%  RegExp: ^\/infoConsole\/?$
      1    0.0%    0.1%  RegExp: ^[\u0009\u0020-\u007e\u0080-\u00ff]+$
      1    0.0%    0.1%  RegExp: ^[\^_`a-zA-Z\-0-9!#$%&'*+.|~]+$
      1    0.0%    0.1%  RegExp: ^[!#$%&'*+.^_`|~0-9A-Za-z-]+$
      1    0.0%    0.1%  RegExp: ^(?:false(?=([~}\s)])))
      1    0.0%    0.1%  RegExp: ^(?:\{\{\{\{)
      1    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\s*else\b)
      1    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\^\s*(~)?\}\})
      1    0.0%    0.1%  RegExp: ^(?:\{\{(~)?&)
      1    0.0%    0.1%  RegExp: ^(?:\{\{(~)?![\s\S]*?\}\})
      1    0.0%    0.1%  RegExp: ^(?:\.\.)
      1    0.0%    0.1%  RegExp: ^(?:\.(?=([=~}\s\/.)|])))
      1    0.0%    0.1%  RegExp: ^(?:(~)?\}\})
      1    0.0%    0.1%  RegExp: ^(?:"(\\["]|[^"])*")
      1    0.0%    0.1%  RegExp: SSS
      1    0.0%    0.1%  RegExp: (?:^|[\\/])\.\.(?:[\\/]|$)
      1    0.0%    0.1%  LazyCompile: *wrapHelper /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/internal/wrapHelper.js:6:20
      1    0.0%    0.1%  LazyCompile: *slowCases node:internal/util:146:19
      1    0.0%    0.1%  LazyCompile: *scopedId /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/ast.js:14:32
      1    0.0%    0.1%  LazyCompile: *replaceStack /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:892:38
      1    0.0%    0.1%  LazyCompile: *readSync node:fs:681:18
      1    0.0%    0.1%  LazyCompile: *readFileAfterStat node:fs:323:27
      1    0.0%    0.1%  LazyCompile: *pushStackLiteral /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:877:46
      1    0.0%    0.1%  LazyCompile: *processImmediate node:internal/timers:421:28
      1    0.0%    0.1%  LazyCompile: *popStack /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:960:30
