Statistical profiling result from infoProf.log, (12031 ticks, 35 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.1%  LazyCompile: *opcode /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:347:26
      2    0.0%    0.1%  LazyCompile: *normalize node:path:1127:12
      2    0.0%    0.1%  LazyCompile: *go$readFile /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/graceful-fs/graceful-fs.js:117:26
      2    0.0%    0.1%  LazyCompile: *fromStringFast node:buffer:411:24
      2    0.0%    0.1%  LazyCompile: *ambiguousSexpr /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:248:42
      2    0.0%    0.1%  LazyCompile: *_write node:internal/streams/writable:283:16
      2    0.0%    0.1%  LazyCompile: *_addListener node:events:422:22
      2    0.0%    0.1%  LazyCompile: *WhitespaceControl.Program /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/whitespace-control.js:19:48
      2    0.0%    0.1%  LazyCompile: *SourceNode_prepend /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/source-map/lib/source-node.js:197:59
      2    0.0%    0.1%  LazyCompile: *PathExpression /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:289:42
      2    0.0%    0.1%  LazyCompile: *Module._findPath node:internal/modules/cjs/loader:494:28
      2    0.0%    0.1%  LazyCompile: *Hash node:internal/crypto/hash:58:14
      2    0.0%    0.1%  LazyCompile: *Glob._processReaddir2 /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:373:44
      2    0.0%    0.1%  LazyCompile: *<anonymous> node:internal/fs/utils:685:40
      1    0.0%    0.1%  RegExp: ^text\/|^application\/(javascript|json)
      1    0.0%    0.1%  RegExp: ^\s*?(\r?\n|$)
      1    0.0%    0.1%  RegExp: ^\/products\/?(?=\/|$)
      1    0.0%    0.1%  RegExp: ^\/info\/?$
      1    0.0%    0.1%  RegExp: ^\/infoConsole\/?$
      1    0.0%    0.1%  RegExp: ^[\u0009\u0020-\u007e\u0080-\u00ff]+$
      1    0.0%    0.1%  RegExp: ^[\^_`a-zA-Z\-0-9!#$%&'*+.|~]+$
      1    0.0%    0.1%  RegExp: ^[!#$%&'*+.^_`|~0-9A-Za-z-]+$
      1    0.0%    0.1%  RegExp: ^(?:true(?=([~}\s)])))
      1    0.0%    0.1%  RegExp: ^(?:null(?=([~}\s)])))
      1    0.0%    0.1%  RegExp: ^(?:\}\}\}\})
      1    0.0%    0.1%  RegExp: ^(?:\}(~)?\}\})
      1    0.0%    0.1%  RegExp: ^(?:\|)
      1    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\{)
